Date,Day,Name of place,Location (approximate),Details,Source url,Image url,Icon 1,lon,lat,
19/11/2012,Monday,Ashkelon,"31.6733, 34.560
","Militants in Gaza fired 12 rockets at southern Israel in 10 minutes on Monday morning, causing no casualties. One rocket landed near a school in Ashkelon, just north of Gaza, but the school was closed at the time",http://www.guardian.co.uk/world/middle-east-live/2012/nov/19/israel-gaza-hamas-rocket-fire-idf-bombing,,placemark_circle_highlight,31.6733,34.56,
19/11/2012,Monday,"Zeitoun neighborhood, Gaza City","31.48633, 34.44562","Ma'an has reported that three were killed in an IDF strike in the Zeitoun neighborhood. Ma'an also report that a Gaza police station was targeted in the strikes and Haaretz report that around 70 people are reported wounded, mainly in the Zeitun neighborhood",http://www.haaretz.com/news/diplomacy-defense/live-blog-rocket-barrage-strikes-israel-gaza-death-toll-reaches-95-1.478922,,placemark_circle_highlight,31.48633,34.44562,
19/11/2012,Monday,Gaza,"31.5247, 34.4535
",man was killed in Gaza while riding in his car,http://www.haaretz.com/news/diplomacy-defense/top-egyptian-official-to-haaretz-we-are-very-close-to-cease-fire-deal-1.478922,,placemark_circle_highlight,31.5247,34.4535,
17/11/2012,Saturday,Be’er Tuvia,"31.7380, 34.7253
",Missile hits home near Be’er Tuvia. No reports of injuries,http://www.timesofisrael.com/peres-we-have-received-no-truce-offers-says-hamas-must-cease-rocket-fire-before-any-agreement-is-reached/,http://cdn.timesofisrael.com/uploads/2012/11/F121117TA55-635x357.jpg,placemark_circle_highlight,31738,34.7253,
18/11/2012,Sunday,Sha'ar Hanegev,"31.5099, 34.5968","Four rockets fired at Sha'ar Hanegev Regional Council, strike open areas",http://www.haaretz.com/news/diplomacy-defense/live-blog-day-5-of-israel-s-gaza-offensive-1.478624,,placemark_circle_highlight,31.5099,34.5968,
18/11/2012,Sunday,Nasser Street,"31.5119, 34.4467","An Israeli bomb pummeled a home deep into the ground here Sunday afternoon, killing 11 people, including nine in three generations of a single family, in the deadliest single strike since the cross-border conflict between Israel and the militant faction Hamas escalated Wednesday",Wires,http://static.guim.co.uk/sys-images/Guardian/Pix/audio/video/2012/11/19/1353317620517/Gaza-residents-search-thr-010.jpg,placemark_circle_highlight,31.5119,34.4467,
18/11/2012,Sunday,Ashkelon,"31.6668, 34.5608","Rocket strikes house in Ashkelon, causing severe damage to building; no immediate word of injuries",http://www.haaretz.com/news/diplomacy-defense/live-blog-day-5-of-israel-s-gaza-offensive-1.478624,,placemark_circle_highlight,31.6668,34.5608,
15/11/2012,Thursday,Ofakim,"31.3134, 34.6230
","Overnight, rocket hits school in Ofakim, causing damage to a building; none wounded",http://www.haaretz.com/news/diplomacy-defense/live-blog-rockets-strike-tel-aviv-area-three-israelis-killed-in-attack-on-south-1.477960,,placemark_circle_highlight,31.3134,34623,
15/11/2012,Thursday,Ashdod,"31.8105, 34.653
",Iron Dome intercepts four rockets fired toward Ashdod, shrapnel lands in the city,http://www.haaretz.com/news/diplomacy-defense/live-blog-rockets-strike-tel-aviv-area-three-israelis-killed-in-attack-on-south-1.477960,,placemark_circle_highlight,31.8105,34653
19/11/2012,Monday,Eilat,"29.573, 34.951
","Ma'an, the Palestinian news agency, reports that the blast in Eilat, right on the south-eastern tip of Israel, this morning, was caused by militants in the Egyptian territory of Sinai ""who detonated an explosive device near Israeli workers installing [a] border fence"".",http://www.guardian.co.uk/world/middle-east-live/2012/nov/19/israel-gaza-hamas-rocket-fire-idf-bombing,,placemark_circle_highlight,29573,34951,
19/11/2012,Monday,Shurooq media building,"31.520663, 34.442988
","At least one person has been killed in an attack on the Shurooq media building in Gaza City, al Jazeera is reporting. The Palestinian militant group Islamic Jihad has confirmed that one of its top leaders was killed in the strike.",http://www.guardian.co.uk/world/middle-east-live/2012/nov/19/israel-gaza-hamas-rocket-fire-idf-bombing,http://i.huffpost.com/gen/871953/thumbs/r-ISRAEL-MEDIA-large570.jpg?6,placemark_circle_highlight,31.520663,34.442988,
